datetime,LID_4,LID_12,LID_13,LID_24,LID_41,LID_42,LID_43,LID_45,LID_48,LID_50,LID_68,LID_74,LID_75,LID_79,LID_87,LID_88,LID_90,LID_100,LID_105,LID_107,LID_113,LID_114,LID_116,LID_120,LID_125,LID_127,LID_128,LID_137,LID_140,LID_141,LID_142,LID_143,LID_144,LID_148,LID_151,LID_152,LID_153,LID_158,LID_161,LID_162,LID_163,LID_164,LID_166,LID_170,LID_186,LID_194,LID_202,LID_209,LID_211,LID_224,LID_229,LID_230,LID_231,LID_232,LID_233,LID_234,LID_236,LID_237,LID_238,LID_239,LID_243,LID_244,LID_246,LID_249,LID_261,LID_262,LID_263
2022-06-24 00:00:00,7.0,0.0,2.0,5.0,9.0,0.0,28.0,8.0,218.0,67.0,121.0,4.0,10.0,222.0,25.0,16.0,92.0,68.0,0.0,117.0,45.0,104.0,2.0,0.0,32.0,0.0,0.0,41.0,34.0,66.0,84.0,18.0,50.0,135.0,11.0,4.0,0.0,54.0,106.0,90.0,93.0,117.0,10.0,95.0,88.0,0.0,0.0,12.0,54.0,2.0,52.0,141.0,83.0,7.0,27.0,118.0,29.0,85.0,36.0,79.0,0.0,4.0,44.0,143.0,14.0,4.0,66.0
2022-06-24 01:00:00,5.0,0.0,2.0,3.0,3.0,0.0,4.0,7.0,165.0,67.0,77.0,2.0,6.0,183.0,14.0,14.0,83.0,47.0,0.0,57.0,32.0,124.0,2.0,0.0,35.0,0.0,0.0,29.0,8.0,30.0,25.0,8.0,57.0,142.0,4.0,1.0,0.0,56.0,34.0,41.0,70.0,85.0,2.0,40.0,67.0,0.0,0.0,10.0,47.0,2.0,27.0,101.0,58.0,8.0,12.0,70.0,17.0,36.0,8.0,20.0,0.0,0.0,54.0,154.0,6.0,8.0,39.0
2022-06-24 02:00:00,6.0,0.0,1.0,0.0,4.0,2.0,3.0,0.0,104.0,25.0,56.0,2.0,2.0,159.0,12.0,7.0,56.0,33.0,0.0,39.0,20.0,80.0,2.0,0.0,18.0,0.0,0.0,13.0,5.0,23.0,11.0,2.0,41.0,90.0,0.0,2.0,0.0,48.0,29.0,24.0,30.0,60.0,1.0,25.0,29.0,0.0,0.0,2.0,32.0,3.0,15.0,53.0,55.0,1.0,15.0,36.0,3.0,11.0,3.0,8.0,0.0,1.0,33.0,125.0,5.0,0.0,35.0
2022-06-24 03:00:00,2.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,81.0,14.0,52.0,0.0,1.0,73.0,4.0,0.0,40.0,14.0,0.0,26.0,8.0,40.0,0.0,0.0,12.0,0.0,0.0,13.0,6.0,18.0,4.0,3.0,21.0,56.0,3.0,0.0,0.0,22.0,8.0,11.0,15.0,39.0,2.0,16.0,20.0,0.0,0.0,2.0,9.0,1.0,11.0,41.0,35.0,4.0,2.0,19.0,1.0,4.0,3.0,4.0,0.0,0.0,32.0,53.0,4.0,2.0,15.0
2022-06-24 04:00:00,0.0,0.0,6.0,1.0,0.0,2.0,4.0,1.0,53.0,9.0,21.0,1.0,4.0,44.0,4.0,3.0,17.0,24.0,0.0,17.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,6.0,6.0,22.0,6.0,3.0,7.0,34.0,2.0,1.0,0.0,5.0,8.0,14.0,14.0,27.0,2.0,10.0,21.0,0.0,0.0,0.0,11.0,2.0,13.0,45.0,17.0,0.0,6.0,11.0,2.0,5.0,4.0,6.0,0.0,1.0,9.0,14.0,4.0,3.0,7.0
2022-06-24 05:00:00,0.0,0.0,5.0,4.0,4.0,1.0,7.0,1.0,42.0,4.0,22.0,5.0,5.0,18.0,4.0,0.0,12.0,36.0,0.0,16.0,5.0,4.0,2.0,0.0,3.0,0.0,0.0,13.0,9.0,20.0,10.0,11.0,2.0,8.0,5.0,1.0,0.0,0.0,18.0,28.0,18.0,13.0,1.0,22.0,59.0,0.0,0.0,1.0,2.0,3.0,11.0,33.0,12.0,2.0,7.0,9.0,18.0,12.0,18.0,13.0,0.0,1.0,4.0,11.0,6.0,24.0,12.0
2022-06-24 06:00:00,1.0,0.0,11.0,4.0,11.0,6.0,18.0,1.0,99.0,6.0,59.0,5.0,11.0,25.0,7.0,1.0,23.0,60.0,0.0,44.0,18.0,4.0,2.0,0.0,10.0,0.0,0.0,19.0,51.0,58.0,40.0,22.0,1.0,7.0,21.0,4.0,0.0,4.0,33.0,63.0,24.0,31.0,6.0,50.0,140.0,0.0,0.0,3.0,5.0,9.0,34.0,40.0,18.0,1.0,26.0,26.0,49.0,43.0,61.0,42.0,0.0,1.0,3.0,21.0,7.0,59.0,58.0
2022-06-24 07:00:00,1.0,1.0,28.0,16.0,20.0,9.0,29.0,3.0,120.0,29.0,61.0,12.0,25.0,52.0,7.0,5.0,44.0,99.0,0.0,67.0,33.0,8.0,9.0,0.0,11.0,0.0,0.0,47.0,77.0,86.0,111.0,47.0,5.0,14.0,39.0,4.0,0.0,5.0,59.0,112.0,59.0,31.0,26.0,103.0,172.0,0.0,0.0,6.0,5.0,6.0,80.0,77.0,44.0,0.0,50.0,41.0,135.0,112.0,90.0,84.0,1.0,3.0,19.0,51.0,13.0,96.0,101.0
2022-06-24 08:00:00,2.0,1.0,23.0,20.0,23.0,6.0,58.0,0.0,103.0,33.0,62.0,13.0,40.0,65.0,28.0,11.0,55.0,74.0,0.0,101.0,54.0,20.0,11.0,0.0,15.0,0.0,0.0,62.0,140.0,129.0,122.0,85.0,13.0,9.0,50.0,9.0,0.0,21.0,85.0,186.0,74.0,57.0,33.0,129.0,188.0,0.0,0.0,6.0,12.0,8.0,107.0,111.0,49.0,2.0,88.0,64.0,246.0,181.0,133.0,116.0,1.0,5.0,30.0,73.0,15.0,143.0,105.0
2022-06-24 09:00:00,3.0,0.0,37.0,28.0,19.0,4.0,56.0,6.0,112.0,27.0,110.0,7.0,30.0,78.0,21.0,9.0,65.0,66.0,0.0,112.0,73.0,16.0,3.0,0.0,18.0,0.0,0.0,51.0,134.0,149.0,149.0,82.0,18.0,16.0,50.0,1.0,1.0,19.0,151.0,148.0,104.0,72.0,29.0,177.0,210.0,0.0,0.0,5.0,21.0,8.0,113.0,137.0,63.0,2.0,89.0,76.0,269.0,209.0,142.0,149.0,1.0,7.0,43.0,68.0,15.0,119.0,113.0
